Product Name,Sales,Profit,Quantity
"SAFCO Commercial Wire Shelving, Black",4199.456,-635.444,35
Bestar Classic Bookcase,1897.8102,-612.9386999999999,31
"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",4297.644,-611.5877999999999,11
Hon Racetrack Conference Tables,3963.901,-598.5228,22
Bevis Rectangular Conference Tables,1007.262,-586.8396,13
Bretford CR4500 Series Slim Rectangular Table,7242.768,-532.7613,29
Tenex Antistatic Computer Chair Mats,3317.0119999999997,-530.038,25
"Tenex Chairmat w/ Average Lip, 45"" x 53""",2058.496,-529.76,19
"Bevis Round Conference Table Top, X-Base",2671.421,-519.941,20
Lexmark MarkNet N8150 Wireless Print Server,723.51,-506.457,6
"Global Wood Trimmed Manager's Task Chair, Khaki",4166.884,-503.1194,59
"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",3680.538,-491.175,35
KI Conference Tables,2140.878,-479.2164,44
"Global High-Back Leather Tilter, Burgundy",5436.158,-474.7414,54
SAFCO Boltless Steel Shelving,4704.696,-470.4696,46
"3D Systems Cube Printer, 2nd Generation, White",2339.982,-467.9964,3
GBC ProClick 150 Presentation Binding System,3222.996,-461.33079999999995,22
Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,2032.35,-460.666,10
"Bevis Traditional Conference Table Top, Plinth Base",2033.496,-456.7032,9
Chromcraft Rectangular Conference Tables,4952.673,-450.243,30
Swingline SM12-08 MicroCut Jam Free Shredder,2359.9410000000003,-447.9888,13
Bevis Boat-Shaped Conference Table,2542.467,-445.587,15
Novimex Swivel Fabric Task Chair,2913.9139999999998,-445.391,25
Okidata MB491 Multifunction Printer,2844.2999999999997,-434.13,9
Premier Automatic Letter Opener,2836.366,-427.8586,14
"Sauder Forest Hills Library with Doors, Woodland Oak Finish",1014.174,-418.548,10
Riverside Furniture Stanwyck Manor Table Series,917.9200000000001,-415.9325,5
GBC VeloBinder Electric Binding Machine,496.018,-411.332,15
"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",5098.176,-404.00640000000004,22
Hon 2111 Invitation Series Corner Table,3140.55,-401.9904,18
"Iceberg OfficeWorks 42"" Round Tables",3457.442,-392.54799999999994,30
LG G2,1499.97,-374.9925,5
Balt Split Level Computer Training Table,1040.625,-357.97499999999997,12
"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",1623.248,-343.0956,26
Jawbone MINI JAMBOX Wireless Bluetooth Speaker,2027.304,-339.7104,18
Fellowes Officeware Wire Shelving,4509.466,-332.371,55
"Lesro Round Back Collection Coffee Table, End Table",2847.7799999999997,-328.59,20
Bretford Rectangular Conference Table Tops,12995.2915,-327.2331,46
Euro Pro Shark Stick Mini Vacuum,170.744,-325.6332,11
"Brother MFC-9340CDW LED All-In-One Printer, Copier Scanner",341.991,-319.1916,3
Ibico Hi-Tech Manual Binding System,5398.323,-304.99,34
Hon Rectangular Conference Tables,3481.515,-295.815,20
Sauder Barrister Bookcases,754.7336,-294.7672,16
Okidata C610n Printer,2011.9,-292.04999999999995,5
O'Sullivan Manor Hill 2-Door Library in Brianna Oak,1646.9180000000001,-285.9484,12
"Eldon ""L"" Workstation Diamond Chairmat",1002.936,-267.4496,19
High Speed Automatic Electric Letter Opener,17030.311999999998,-262.00480000000005,11
Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,1200.936,-256.56359999999995,18
Xerox WorkCentre 6505DN Laser Multifunction Printer,2519.958,-251.9958,7
Okidata B401 Printer,179.991,-251.9874,3
KI Adjustable-Height Table,4552.641,-248.48219999999998,74
Global Low Back Tilter Chair,1746.9540000000002,-246.3912,21
Catalog Binders with Expanding Posts,1089.936,-242.20800000000003,36
Hon 5100 Series Wood Tables,5965.09,-238.60360000000003,26
Office Star Flex Back Scooter Chair with White Frame,1775.68,-228.61880000000002,21
"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",763.6679999999999,-222.73649999999998,15
Safco Industrial Wire Shelving System,2511.0480000000002,-218.352,30
Global Deluxe Steno Chair,1770.54,-216.31380000000001,29
Balt Solid Wood Rectangular Table,828.0965,-216.2545,11
LG Exalt,1154.326,-212.14640000000003,12
"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",3626.0056,-208.6504,34
Laminate Occasional Tables,2096.168,-206.5342,18
"Premier Elliptical Ring Binder, Black",526.612,-201.51279999999997,46
High-Back Leather Manager's Chair,4770.633,-197.5848,42
"Bevis Round Bullnose 29"" High Table Top",4544.925,-192.18540000000002,24
Hon 4-Shelf Metal Bookcases,1474.308,-191.86200000000002,22
"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",90.882,-190.8522,3
Chromcraft Round Conference Tables,8209.059,-189.9761,61
"Belkin 19"" Vented Equipment Shelf, Black",1400.256,-179.6652,31
"Hon 30"" x 60"" Table with Locking Drawer",1296.028,-177.3512,6
Honeywell Enviracaire Portable Air Cleaner for up to 8 x 10 Room,299.20799999999997,-177.22320000000002,9
"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",2064.228,-173.12879999999998,24
"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",2299.75,-172.9412,28
Epson Perfection V600 Photo Scanner,206.991,-172.4925,3
O'Sullivan Living Dimensions 3-Shelf Bookcases,2904.161,-170.83299999999997,17
Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,3178.13,-167.27,20
"Global Geo Office Task Chair, Gray",1757.266,-166.00900000000001,25
Cisco 8961 IP Phone Charcoal,224.937,-164.9538,3
Bevis 44 x 96 Conference Tables,3253.2200000000003,-164.72000000000003,20
"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",694.194,-158.48579999999998,7
Global Deluxe High-Back Office Chair in Storm,1087.92,-149.589,10
Hon 61000 Series Interactive Training Tables,653.121,-148.3962,22
"Bush Andora Conference Table, Maple/Graphite Gray Finish",1436.232,-143.6232,12
Novimex High-Tech Fabric Mesh Task Chair,922.74,-133.4424,16
O'Sullivan 2-Shelf Heavy-Duty Bookcases,723.842,-133.1092,21
Novimex Fabric Task Chair,1890.3799999999999,-131.107,39
Office Star - Mesh Screen back chair with Vinyl seat,2200.464,-130.98,20
Tenex Chairmats For Use with Hard Floors,467.712,-129.92,20
Samsung Galaxy Note 2,4507.902,-128.79719999999998,14
Safco Industrial Wire Shelving,1363.058,-126.7068,16
"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",5184.081,-126.44099999999996,27
"Sauder Mission Library with Doors, Fruitwood Finish",935.1972,-125.74080000000001,10
"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",1115.6399999999999,-125.1996,33
Carina Media Storage Towers in Natural & Black,1073.248,-121.96000000000001,20
Belkin F9S820V06 8 Outlet Surge,266.336,-120.17599999999999,17
Cisco IP Phone 7961G-GE VoIP phone,2252.4320000000002,-119.119,15
"Bush Birmingham Collection Bookcase, Dark Cherry",825.174,-117.882,9
Hon 2111 Invitation Series Straight Table,2040.054,-115.30739999999999,18
"Global Leather & Oak Executive Chair, Burgundy",1689.968,-114.6764,13
Acco 6 Outlet Guardian Premium Plus Surge Suppressor,289.456,-113.76719999999999,31
"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",400.0268,-113.2606,3
Eldon Cleatmat Plus Chair Mats for High Pile Carpets,1304.1280000000002,-111.328,20
"Carina 42""Hx23 3/4""W Media Storage Unit",1635.796,-110.1328,22
Tennsco Industrial Shelving,1281.442,-108.5802,29
"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",1088.64,-104.832,16
Safco Industrial Shelving,827.12,-104.1285,13
Sauder Camden County Collection Library,1368.2620000000002,-103.482,16
Acco D-Ring Binder w/DublLock,235.18,-102.8378,31
"Bush Westfield Collection Bookcases, Dark Cherry Finish",649.376,-97.4064,14
Motorola HK250 Universal Bluetooth Headset,832.238,-91.5002,41
GBC Linen Binding Covers,207.566,-82.4068,18
"Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets",834.6,-82.17599999999999,42
Sauder Cornerstone Collection Library,322.192,-81.16760000000001,14
"Global Task Chair, Black",463.099,-80.4062,12
O'Sullivan Living Dimensions 2-Shelf Bookcases,2970.059,-78.637,28
Eldon Executive Woodline II Cherry Finish Desk Accessories,98.13600000000001,-78.5088,6
O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,1072.344,-78.36359999999999,9
"Sauder Camden County Collection Libraries, Planked Cherry Finish",1909.8178,-78.18639999999999,19
Sensible Storage WireTech Storage Systems,2484.2999999999997,-78.07799999999999,38
Fellowes Command Center 5-outlet power strip,664.832,-78.016,15
Space Solutions Commercial Steel Shelving,1952.43,-74.34749999999998,33
Hewlett-Packard Deskjet F4180 All-in-One Color Ink-jet - Printer / copier / scanner,101.994,-71.3958,2
Rush Hierlooms Collection Rich Wood Bookcases,489.37919999999997,-70.8312,4
"Sauder Forest Hills Library, Woodland Oak Finish",1875.034,-70.49,15
Avery Recycled Flexi-View Covers for Binding Systems,197.169,-69.5702,32
"Carina Mini System Audio Rack, Model AR050B",2730.108,-68.8076,26
GBC Plasticlear Binding Covers,68.88,-68.4208,23
"O'Sullivan Elevations Bookcase, Cherry Finish",1912.308,-68.1096,18
"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",5801.816,-66.82720000000002,23
"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",953.82,-63.587999999999994,20
i.Sound Portable Power - 8000 mAh,413.322,-58.8189,9
V7 USB Numeric Keypad,461.868,-58.7832,16
"Contico 72""H Heavy-Duty Storage System",598.308,-57.372,16
Compact Automatic Electric Letter Opener,2982.75,-57.268800000000006,26
Bush Somerset Collection Bookcase,1263.9569999999999,-56.3214,12
Fellowes Econo/Stor Drawers,581.58,-56.2194,7
OtterBox Commuter Series Case - Samsung Galaxy S4,384.846,-55.977599999999995,18
Cisco CP-7937G Unified IP Conference Station Phone,1391.4,-55.656,4
"Eldon Base for stackable storage shelf, platinum",872.256,-52.569,25
iOttie XL Car Mount,223.88799999999998,-50.3748,14
Clearsounds A400,488.326,-48.8326,11
Hon Deluxe Fabric Upholstered Stacking Chairs,2586.1879999999996,-48.796,15
Eldon Advantage Foldable Chair Mats for Low Pile Carpets,379.4,-48.78,10
Tennsco Commercial Shelving,374.256,-48.6126,21
SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card,329.946,-48.5826,31
"Belkin 19"" Center-Weighted Shelf, Gray",849.3119999999999,-47.184,16
"Tenex Traditional Chairmats for Hard Floors, Average Lip, 36"" x 48""",180.46,-46.403999999999996,4
"Iris 3-Drawer Stacking Bin, Black",284.104,-43.4512,16
Eldon Cleatmat Chair Mats for Medium Pile Carpets,344.1,-42.18000000000001,8
Office Star - Ergonomically Designed Knee Chair,1311.876,-42.1096,19
"Tenex ""The Solids"" Textured Chair Mats",1469.1599999999999,-40.57679999999999,26
36X48 HARDFLOOR CHAIRMAT,369.24800000000005,-40.4914,21
Insertable Tab Post Binder Dividers,66.566,-39.699,25
Bevis Round Conference Room Tables and Bases,519.941,-39.4438,4
Mediabridge Sport Armband iPhone 5s,257.742,-38.961,30
Kensington 6 Outlet SmartSocket Surge Protector,147.528,-36.882000000000005,6
"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",4384.044,-36.533699999999996,33
Hon Comfortask Task/Swivel Chairs,1686.904,-36.473600000000005,18
Rogers Deluxe File Chest,443.99600000000004,-34.7284,22
Novimex Turbo Task Chair,1341.5220000000002,-32.6508,22
"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 30/Pack",472.86,-32.2695,17
Anker Astro Mini 3000mAh Ultra-Compact Portable Charger,147.926,-31.984,9
Samsung Convoy 3,688.138,-31.077199999999998,9
Macally Suction Cup Mount,279.63,-31.07,26
Fellowes Bankers Box Recycled Super Stor/Drawer,1187.56,-30.228800000000003,24
"GBC Standard Recycled Report Covers, Clear Plastic Sheets",258.72,-27.1656,51
"Hon Metal Bookcases, Black",1570.0775999999998,-26.972399999999993,30
"Tennsco Lockers, Gray",402.816,-26.434800000000003,22
"SAFCO Commercial Wire Shelving, 72h",1445.2640000000001,-24.496,24
Anker Astro 15000mAh USB Portable Charger,599.88,-23.995199999999997,13
GBC VeloBinder Strips,52.992,-23.808,20
Avery Durable Slant Ring Binders,51.480000000000004,-23.76,19
Panasonic KX MC6040 Color Laser Multifunction Printer,1619.82,-22.497500000000002,5
Stiletto Hand Letter Openers,136.32,-21.983999999999998,17
Plantronics Single Ear Headset,29.925,-21.945,5
"Global Armless Task Chair, Royal Blue",1396.442,-20.733200000000004,28
Cyber Acoustics AC-202b Speech Recognition Stereo Headset,119.508,-20.5242,11
Texas Instrument TI-15 Fraction Calculator,41.905,-20.519,8
Space Solutions Industrial Galvanized Steel Shelving.,520.0799999999999,-20.488,7
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,303.36,-20.476799999999997,14
"Bush Westfield Collection Bookcases, Medium Cherry Finish",1426.8878,-20.293,32
Accohide Poly Flexible Ring Binders,43.758,-19.822000000000003,34
Wilson Jones Custom Binder Spines & Labels,41.344,-19.6928,22
Logitech Keyboard K120,174.24,-19.602,12
Large Capacity Hanging Post Binders,276.945,-19.461000000000006,22
GBC Wire Binding Strips,212.65800000000002,-18.409200000000002,14
Speck Products Candyshell Flip Case,188.946,-18.1948,8
Fellowes Neat Ideas Storage Cubes,480.70399999999995,-18.1888,16
Anderson Hickey Conga Table Tops & Accessories,51.782,-17.514499999999998,5
Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,823.2520000000001,-17.03280000000001,16
"Electrix Incandescent Magnifying Lamp, Black",117.28,-16.4925,5
Avery Reinforcements for Hole-Punch Pages,28.512,-16.137,41
Avery Durable Poly Binders,82.95,-15.5946,33
ARKON Windshield Dashboard Air Vent Car Mount Holder,216.95999999999998,-15.594000000000001,14
Dexim XPower Skin Super-Thin Power Case for iPhone 5 - Black,467.92,-14.622499999999995,11
"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",137.808,-14.4072,27
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",63.627,-13.906500000000001,37
Motorola L804,607.068,-13.337100000000003,19
XtraLife ClearVue Slant-D Ring Binders by Cardinal,72.912,-13.328,22
GBC ProClick Spines for 32-Hole Punch,66.40899999999999,-13.2818,12
Martin-Yale Premier Letter Opener,236.99200000000002,-12.879999999999999,20
Fellowes Bankers Box Stor/Drawer Steel Plus,1426.308,-12.792000000000003,50
"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",119.833,-12.6882,1
Cardinal Hold-It CD Pocket,38.304,-12.4488,12
GBC Instant Index System for Binding Systems,71.928,-12.432,19
O'Sullivan 5-Shelf Heavy-Duty Bookcases,540.804,-12.290999999999997,9
"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",2298.114,-12.132900000000003,39
Case Logic 2.4GHz Wireless Keyboard,1229.754,-11.997600000000006,27
iOttie HLCRIO102 Car Mount,215.892,-11.994,12
Gear Head AU3700S Headset,189.654,-11.9508,16
"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",102.619,-11.882200000000001,44
GBC Personal VeloBind Strips,156.938,-11.2612,27
Dana Swing-Arm Lamps,108.936,-11.214,15
Avaya 5410 Digital phone,625.508,-10.878400000000003,13
Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,91.68599999999999,-10.4118,18
"Alliance Super-Size Bands, Assorted Sizes",197.61200000000002,-10.3474,27
Pressboard Hanging Data Binders for Unburst Sheets,112.66799999999999,-10.135200000000001,48
Shocksock Galaxy S4 Armband,63.510000000000005,-10.074,7
"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",858.858,-9.93719999999999,17
Hoover Commercial Lightweight Upright Vacuum with E-Z Empty Dirt Cup,1023.3520000000001,-9.303200000000004,6
"GBC Velobind Prepunched Cover Sets, Regency Series",661.942,-9.24499999999999,33
"Wilson Jones 1"" Hanging DublLock Ring Binders",117.744,-8.5536,46
"Sauder Facets Collection Library, Sky Alder Finish",1427.683,-8.549,10
Acco Side-Punched Conventional Columnar Pads,41.64,-7.8075,15
Eldon Shelf Savers Cubes and Bins,300.14,-7.677999999999999,45
"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",262.752,-7.616000000000003,20
Safco Commercial Shelving,483.704,-7.441599999999999,11
Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors,448.902,-7.041599999999996,14
Avery Hidden Tab Dividers for Binding Systems,31.588,-7.032800000000001,24
Akro Stacking Bins,91.524,-6.9432,13
Plantronics MX500i Earset,618.48,-6.4425,15
Sterilite Show Offs Storage Containers,78.144,-6.336,16
Tennsco Regal Shelving Units,1764.534,-6.084599999999998,18
Telescoping Adjustable Floor Lamp,143.928,-5.997000000000002,10
Acco Economy Flexible Poly Round Ring Binder,11.484,-5.742,6
Revere Boxed Rubber Bands by Revere,48.006,-5.707800000000001,29
UniKeep View Case Binders,28.851,-5.4768,13
"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",25.83,-4.919999999999999,25
Acco Suede Grain Vinyl Round Ring Binder,38.641999999999996,-4.892799999999999,29
"Rogers Jumbo File, Granite",317.77200000000005,-4.8888,24
Eldon 100 Class Desk Accessories,36.396,-4.8528,18
Insertable Tab Indexes For Data Binders,17.49,-4.8336,13
Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,1.624,-4.466,2
Fellowes Black Plastic Comb Bindings,102.256,-4.415600000000001,34
Serrated Blade or Curved Handle Hand Letter Openers,23.864,-4.1133999999999995,9
"Mead 1st Gear 2"" Zipper Binder, Asst. Colors",54.474000000000004,-3.891,9
Sterling Rubber Bands by Alliance,19.782,-3.768,5
Acco 6 Outlet Guardian Basic Surge Suppressor,38.272,-3.6608,7
Acme Rosewood Handle Letter Opener,43.67,-3.4936000000000003,12
Plymouth Boxed Rubber Bands by Plymouth,77.244,-3.297,18
Carina Double Wide Media Storage Towers in Natural & Black,3028.652,-3.2392000000000003,39
"Fellowes Twister Kit, Gray/Clear, 3/pkg",182.508,-3.2159999999999975,42
GBC Standard Plastic Binding Systems Combs,55.755,-2.9205000000000014,13
"Stacking Tray, Side-Loading, Legal, Smoke",46.592,-2.8672,16
"Super Bands, 12/Pack",33.480000000000004,-2.604,20
Hoover Commercial Lightweight Upright Vacuum,18.096,-2.5056000000000003,8
"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",269.394,-2.2830000000000013,35
Avery Self-Adhesive Photo Pockets for Polaroid Photos,143.01,-2.1791999999999967,41
PNY Rapid USB Car Charger - Black,9.588,-2.0774,2
Kingston Digital DataTraveler 8GB USB 2.0,44.03,-2.0229999999999997,9
Computer Printout Index Tabs,11.088000000000001,-2.016,15
Storex Flexible Poly Binders with Double Pockets,10.824,-2.0064,9
Angle-D Ring Binders,39.384,-1.9691999999999992,14
Penpower WorldCard Pro Card Scanner,91.475,-1.8295,1
"Executive Impressions 14"" Contract Wall Clock with Quartz Movement",97.812,-1.7783999999999978,8
Acme Serrated Blade Letter Opener,13.992,-1.7489999999999999,5
SanDisk Cruzer 8 GB USB Flash Drive,27.168,-1.3584,4
"Executive Impressions 16-1/2"" Circular Wall Clock",58.784,-1.0687999999999995,4
Round Ring Binders,29.952,-0.9152000000000005,28
"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",99.80000000000001,-0.698599999999999,19
Eldon Gobal File Keepers,348.22,-0.6055999999999999,24
"Brites Rubber Bands, 1 1/2 oz. Box",13.068000000000001,-0.5147999999999999,7
Rubber Band Ball,58.344,-0.29920000000000013,16
"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",62.946,-0.16139999999999866,23
Premier Electric Letter Opener,2641.6079999999997,-7.105427357601002e-15,24
Global Super Steno Chair,2389.902,-1.7763568394002505e-15,30
